recurrence_order,tap_value,reflected_value,matrix_order,global_antiperiod_h,gcd_matrix_with_order,gcd_matrix_with_value,gcd_matrix_with_order_plus_value,v2_matrix_order,k_divides_matrix_order,v_divides_matrix_order,k_plus_v_divides_matrix_order
89,88,1,9200035164160915948080491961063266880,,1,88,3,6,False,True,False
96,1,95,7359730080605648735070707665531838572211440,,16,1,1,4,False,True,False
96,2,94,6135568501670730066724,,4,2,2,2,False,True,False
96,3,93,68630377364880,,48,3,3,4,False,True,False
96,4,92,41841412808,,8,4,4,3,False,True,False
96,5,91,244706237816385122459251403406069725793013202,,2,1,1,1,False,False,False
96,6,90,15478320,,48,6,6,4,False,True,False
96,7,89,39760714608308971263527811034385871667226848,,32,1,1,5,False,False,False
96,8,88,52480,,32,8,8,8,False,True,False
96,9,87,693612073156548,,12,3,21,2,False,False,False
96,10,86,301523720463680,,32,10,2,6,False,True,False
96,11,85,795335680116648345321297024103996608579525368,,8,1,1,3,False,False,False
96,12,84,37752,,24,12,12,3,False,True,False
96,13,83,1995407932893897495179917417712237042720,,32,13,1,5,False,True,False
96,14,82,5908625413101667397284,,4,2,22,2,False,False,False
96,15,81,5559060566555520,2779530283277760,96,15,3,7,True,True,False
96,16,80,11648,5824,32,16,112,7,False,True,True
96,17,79,65418290000013473146875160,,8,1,1,3,False,False,False
96,18,78,63481440,,96,6,6,5,True,False,False
96,19,77,258665451442134464348760207984811376936,,8,1,23,3,False,False,False
96,20,76,12837486112,,32,4,4,5,False,False,False
96,21,75,2779530068044158,,6,3,39,1,False,False,False
96,22,74,79729970080495339074772,,4,2,2,2,False,False,False
96,23,73,169619136456463872972221598301040,,16,1,7,4,False,False,False
96,24,72,1920,960,96,24,120,7,True,True,True
96,25,71,64751900377544900200295179375637923694,,2,1,1,1,False,False,False
96,26,70,1994161076349805765600,,32,2,122,5,False,False,True
96,27,69,7353240824280,,24,3,3,3,False,False,False
96,28,68,562534549544,,8,4,4,3,False,False,False
96,29,67,80481907546865398203041639516705432091218,,2,1,1,1,False,False,False
96,30,66,124357116,,12,6,6,2,False,False,False
96,31,65,198467018487221788277975601261284170342058264,,8,1,1,3,False,False,False
96,32,64,416,,32,32,32,5,False,True,False
96,33,63,1372537810428720,,48,3,3,4,False,False,False
96,34,62,79766443008240970237012,,4,2,2,2,False,False,False
96,35,61,11972515182562019788602740026717047105680,,16,35,1,4,False,True,False
96,36,60,78720,39360,96,12,12,7,True,False,False
96,37,59,878418231207848680779599364644183724808,,8,37,133,3,False,True,True
96,38,58,474148941887908693120,,32,2,2,7,False,False,False
96,39,57,2779514592482238,,6,39,3,1,False,True,False
96,40,56,157456,,16,8,8,4,False,False,False
96,41,55,80481907546865398203041639516705432091218,,2,1,1,1,False,False,False
96,42,54,258280320,129140160,96,6,6,7,True,False,False
96,43,53,2980811393188918558086712730745496592720,,16,1,1,4,False,False,False
96,44,52,1549681952,,32,4,28,5,False,False,False
96,45,51,102945537349512,,24,3,3,3,False,False,False
96,46,50,24315330918113857600,,32,2,2,6,False,False,False
96,47,49,795335513857059703670189864723705296679469368,,8,1,1,3,False,False,False
96,48,48,384,192,96,48,48,7,True,True,False
96,49,47,795335513857059703670189864723705296679469368,,8,1,1,3,False,False,False
96,50,46,24315330918113857600,,32,50,2,6,False,True,False
96,51,45,102945537349512,,24,3,3,3,False,False,False
96,52,44,1549681952,,32,52,148,5,False,True,True
96,53,43,2980811393188918558086712730745496592720,,16,53,1,4,False,True,False
96,54,42,258280320,129140160,96,6,30,7,True,False,False
96,55,41,80481907546865398203041639516705432091218,,2,11,1,1,False,False,False
96,56,40,157456,,16,8,8,4,False,False,False
96,57,39,2779514592482238,,6,3,3,1,False,False,False
96,58,38,474148941887908693120,,32,2,22,7,False,False,False
96,59,37,878418231207848680779599364644183724808,,8,1,1,3,False,False,False
96,60,36,78720,39360,96,60,12,7,True,True,False
96,61,35,11972515182562019788602740026717047105680,,16,1,1,4,False,False,False
96,62,34,79766443008240970237012,,4,2,2,2,False,False,False
96,63,33,1372537810428720,,48,3,3,4,False,False,False
96,64,32,256,,32,64,32,8,False,True,False
96,65,31,198467018487221788277975601261284170342058264,,8,13,7,3,False,False,False
96,66,30,124357116,,12,6,6,2,False,False,False
96,67,29,80481907546865398203041639516705432091218,,2,1,1,1,False,False,False
96,68,28,562534549544,,8,4,4,3,False,False,False
96,69,27,7353240824280,,24,3,15,3,False,False,False
96,70,26,1994161076349805765600,,32,10,2,5,False,False,False
96,71,25,64751900377544900200295179375637923694,,2,1,1,1,False,False,False
96,72,24,1920,960,96,24,24,7,True,False,False
96,73,23,169619136456463872972221598301040,,16,73,13,4,False,True,False
96,74,22,79729970080495339074772,,4,2,2,2,False,False,False
96,75,21,2779530068044158,,6,3,3,1,False,False,False
96,76,20,12837486112,,32,4,4,5,False,False,False
96,77,19,258665451442134464348760207984811376936,,8,7,1,3,False,False,False
96,78,18,63481440,,96,6,6,5,True,False,False
96,79,17,65418290000013473146875160,,8,1,35,3,False,False,False
96,80,16,11648,5824,32,16,16,7,False,False,False
96,81,15,5559060566555520,2779530283277760,96,3,3,7,True,False,False
96,82,14,5908625413101667397284,,4,2,2,2,False,False,False
96,83,13,1995407932893897495179917417712237042720,,32,1,1,5,False,False,False
96,84,12,37752,,24,12,12,3,False,False,False
96,85,11,795335680116648345321297024103996608579525368,,8,1,1,3,False,False,False
96,86,10,301523720463680,,32,2,26,6,False,False,False
96,87,9,693612073156548,,12,3,3,2,False,False,False
96,88,8,52480,,32,8,8,8,False,False,False
96,89,7,39760714608308971263527811034385871667226848,,32,1,1,5,False,False,False
96,90,6,15478320,,48,30,6,4,False,False,False
96,91,5,244706237816385122459251403406069725793013202,,2,13,1,1,False,False,False
96,92,4,41841412808,,8,4,4,3,False,False,False
96,93,3,68630377364880,,48,3,3,4,False,False,False
96,94,2,6135568501670730066724,,4,2,2,2,False,False,False
96,95,1,7359730080605648735070707665531838572211440,,16,5,1,4,False,False,False
97,1,96,4576362230867323881975722745072297368628398186,,1,1,2,1,False,True,False
97,2,95,117827508169182400907623719716590544599967598,,1,2,3,1,False,True,False
97,3,94,74561457287097904413485347748003965386540755,,1,1,5,0,False,False,False
97,4,93,3181342720567971179150189757528208837324129706,,1,2,1,1,False,False,False
97,5,92,367277438204353184643937417082563158979280,,1,5,2,4,False,True,False
97,6,91,1454660594681285404313263371441754000874480,,1,2,1,4,False,False,False
97,7,90,2797424219738273192161950914929384193680,,1,7,104,4,False,True,True
97,8,89,3829393926539466123781285685366630197836192,,1,8,3,5,False,True,False
97,9,88,16896299658684439198110680956461280,,97,1,2,5,True,False,False
97,10,87,14728435403780735636075650611158860407571448,,1,2,1,3,False,False,False
97,11,86,9544028161703913537711161865357203741201621144,,1,1,4,3,False,False,False
97,12,85,3181342720567971179150189757528208837324129706,,1,2,1,1,False,False,False
97,13,84,589137417671896076792733233128670590121425720,,1,1,10,3,False,False,False
97,14,83,353482524203418959391922743358965459218855832,,1,2,3,3,False,False,False
97,15,82,9239460077973417673937970938254006640,,1,5,112,4,False,False,True
97,16,81,198833864607187168176233309735240358531904904,,1,8,1,3,False,False,False
97,17,80,4752376162823759415897865927575078036652568920,,1,1,2,3,False,False,False
97,18,79,793451233462519311444672498134247940003768,,1,2,1,3,False,False,False
97,19,78,238600703426727587119879495777653318031080064,,1,19,4,7,False,True,False
97,20,77,1584125387607896723313607787289756065406918966,,1,2,3,1,False,False,False
97,21,76,18376887000048859611564389224046739361311440,,1,7,2,4,False,False,False
97,22,75,13589265178484799115214786058300242054662088,,1,2,7,3,False,False,False
97,23,74,9805489934518294206865644081881261579552648,,1,1,8,3,False,False,False
97,24,73,3206923684780673172839654652914247368240,,1,8,1,4,False,False,False
97,25,72,923803445537227997641074705753790840,,1,5,2,3,False,False,False
97,26,71,41903800182565302500899122614190167604756,,1,26,3,2,False,True,False
97,27,70,353320895552587765981455460928446777135750898,,1,1,2,1,False,False,False
97,28,69,1454660594542221209593386157617473105047760,,1,4,5,4,False,False,False
97,29,68,9426200653534729419962709277834865527244764880,,1,1,2,4,False,False,False
97,30,67,13469079267487834138022882365610174352320,,1,10,1,6,False,False,False
97,31,66,63813145693946841895853759018437342514561960,,1,1,8,3,False,False,False
97,32,65,775956443026159103051114218293219384648,,1,8,3,3,False,False,False
97,33,64,22559345148709695105305472574038320,,1,1,130,4,False,False,True
